2.0 Y10, 10 F3
2.0 Y14, 140 E
2.3 Y14, 140 F
2.3 Y10, 10 E1
116.639, 98.08
117.357, 97.34
118.232, 96.60
119.113, 95.99
120.9 Y, 95.10
121.829, 94.79
123.055, 94.51
125.119, 94.34
127.157, 94.55
129.109, 95.10
130.902, 96.00
131.907, 96.71
132.742, 97.44
134.082, 98.98
134.483, 99.61
134.895, 100.4
135.442, 102.2
135.619, 103.4
135.659, 104.4
135.59 , 105.7
135.433, 106.6
135.133, 107.8
134.313, 109.6
133.327, 111.2
132.363, 112.2
130.924, 113.1
129.071, 113.8
126.933, 114.2
124.644, 114.4
122.599, 114.2
120.588, 113.7
118.895, 113.0
117.637, 112.2
116.745, 111.3
115.841, 110.0
115.43 , 109.2
114.867, 107.8
114.566, 106.6
114.411, 105.7
114.343, 104.2
114.558, 102.2
115.101, 100.5
115.506, 99.63
115.926, 98.97
116.602, 98.12
116.895, 98.36
116.917, 98.33
117.612, 97.62
118.458, 96.90
119.317, 96.31
121.042, 95.45
121.928, 95.15
123.112, 94.88
125.107, 94.72
127.079, 94.92
128.966, 95.45
130.696, 96.32
131.668, 97.00
132.477, 97.70
133.772, 99.19
134.549, 100.6
135.071, 102.3
135.244, 103.5
135.282, 104.4
135.214, 105.6
135.066, 106.5
134.466, 108.4
133.986, 109.4
133.009, 111.0
132.137, 111.9
130.755, 112.8
128.972, 113.4
126.888, 113.9
124.649, 114.0
122.662, 113.8
120.697, 113.3
119.063, 112.7
117.863, 111.9
117.056, 111.1
116.152, 109.8
115.781, 109.1
115.227, 107.6
114.934, 106.5
114.786, 105.6
114.719, 104.2
114.929, 102.3
115.446, 100.6
115.841, 99.81
116.236, 99.18
116.858, 98.41
117.173, 98.68
117.866, 97.90
118.683, 97.20
119.521, 96.62
121.184, 95.80
123.17 , 95.25
125.096, 95.10
127.002, 95.29
128.823, 95.80
130.491, 96.63
131.429, 97.29
132.213, 97.97
133.461, 99.41
134.204, 100.7
134.7 Y, 102.4
134.869, 103.5
134.905, 104.4
134.741, 106.2
134.538, 107.1
134.196, 108.1
133.659, 109.2
132.691, 110.8
131.911, 111.6
130.466, 112.5
128.626, 113.2
126.602, 113.5
124.654, 113.6
122.804, 113.4
121.046, 113.1
119.425, 112.4
118.089, 111.6
117.367, 110.9
116.463, 109.6
116.131, 108.9
115.588, 107.5
115.301, 106.5
115.162, 105.6
115.096, 104.2
115.3 Y, 102.4
115.791, 100.8
116.546, 99.40
117.134, 98.73
117.173, 98.68
117.866, 97.90
118.683, 97.20
119.488, 96.65
120.823, 108.3
120.782, 108.3
120.044, 107.1
119.765, 106.6
119.539, 105.9
119.395, 105.2
119.349, 104.4
119.408, 103.5
119.539, 103.0
119.697, 102.4
119.927, 101.9
120.2 Y, 101.6
120.642, 101.1
121.063, 100.7
121.465, 100.4
122.006, 100.1
122.57 , 99.83
123.152, 99.62
123.842, 99.46
124.427, 99.39
125.009, 99.35
125.775, 99.40
126.53 , 99.53
127.242, 99.75
127.883, 100.0
128.769, 100.6
129.25 , 101.0
129.659, 101.4
130.063, 101.9
130.294, 102.4
130.521, 103.2
130.59 , 103.6
130.637, 104.3
130.641, 104.8
130.544, 105.5
130.357, 106.2
130.1 Y, 106.9
129.81 , 107.4
129.217, 108.3
128.992, 108.5
128.537, 108.7
127.5 Y, 109.0
126.831, 109.2
126.108, 109.3
125.552, 109.3
124.719, 109.4
124.192, 109.3
123.562, 109.3
122.945, 109.2
122.263, 109.0
121.665, 108.8
121.063, 108.5
120.874, 108.4
120.521, 108.6
120.507, 108.6
119.712, 107.3
119.416, 106.7
119.174, 106.0
119.02 , 105.2
118.971, 104.4
119.034, 103.5
119.171, 102.9
119.348, 102.3
119.602, 101.8
119.9 Y, 101.4
120.374, 100.8
120.82 , 100.4
121.373, 100.0
121.824, 99.77
122.418, 99.49
123.049, 99.26
123.776, 99.08
124.382, 99.01
125.015, 98.97
125.82 , 99.02
126.619, 99.17
127.374, 99.40
128.063, 99.70
128.996, 100.3
129.34 , 100.6
129.712, 100.9
130.054, 101.3
130.392, 101.7
130.647, 102.3
130.89 , 103.1
130.963, 103.6
131.015, 104.3
131.018, 104.8
130.915, 105.6
130.714, 106.4
130.44 , 107.0
130.135, 107.6
129.493, 108.6
129.182, 108.8
128.682, 109.1
127.6 Y, 109.4
126.899, 109.6
126.15 , 109.7
125.57 , 109.7
124.712, 109.7
124.16 , 109.7
123.518, 109.6
122.867, 109.5
122.158, 109.3
121.524, 109.1
120.902, 108.8
120.572, 108.6
120.224, 108.9
119.379, 107.5
119.067, 106.9
118.808, 106.1
118.645, 105.3
118.593, 104.4
118.66 , 103.4
118.803, 102.8
118.998, 102.2
119.278, 101.6
119.775, 100.9
120.36 , 100.3
120.779, 100.0
121.197, 99.72
121.642, 99.44
122.267, 99.14
122.946, 98.89
123.71 , 98.71
124.338, 98.64
125.022, 98.60
125.865, 98.65
126.707, 98.80
127.507, 99.04
128.244, 99.37
129.222, 100.0
129.586, 100.3
129.984, 100.7
130.395, 101.1
130.72 , 101.6
131 Y10, 102.1
131.259, 103.0
131.337, 103.5
131.392, 104.3
131.396, 104.8
131.286, 105.7
131.072, 106.5
130.781, 107.2
130.46 , 107.8
129.768, 108.9
129.372, 109.1
128.826, 109.4
127.701, 109.8
126.966, 109.9
126.192, 110.1
125.587, 110.1
124.704, 110.1
124.128, 110.1
123.301, 110.0
122.788, 109.9
122.054, 109.7
121.384, 109.5
120.741, 109.2
120.271, 108.9
120.224, 108.9
119.379, 107.5
119.067, 106.9
118.811, 106.1
128.2 Y, 100.3
129.441, 101.6
129.745, 102.0
129.81 , 102.1
130.023, 102.5
130.1 Y, 102.8
127.432, 100.1
127.14 , 100.0
126.603, 99.86
130.275, 103.5
130.345, 104.0
130.346, 104.1
125.929, 99.72
125.74 , 99.69
125.335, 99.66
130.35 , 104.6
130.304, 105.1
124.79 , 99.65
124.296, 99.69
130.233, 105.6
130.12 , 106.0
123.825, 99.76
123.393, 99.86
129.977, 106.4
129.816, 106.8
122.979, 99.98
122.599, 100.1
129.627, 107.1
129.426, 107.5
122.233, 100.3
121.895, 100.5
129.218, 107.8
129.01 , 108.1
121.578, 100.7
121.274, 100.9
128.675, 108.3
128.305, 108.5
120.991, 101.2
120.725, 101.4
127.903, 108.6
127.502, 108.7
120.472, 101.7
120.24 , 102.0
127.07 , 108.8
126.622, 108.9
120.053, 102.4
119.898, 102.7
126.154, 109.0
125.664, 109.0
119.789, 103.2
119.695, 103.6
125.144, 109.1
124.608, 109.1
119.658, 104.1
119.639, 104.4
119.656, 104.6
124.03 , 109.0
123.422, 108.9
119.703, 105.2
119.845, 105.9
122.748, 108.8
122.344, 108.7
121.998, 108.6
119.852, 106.4
121.998, 108.6
122.115, 108.6
115.073, 108.3
114.867, 107.8
114.566, 106.6
114.411, 105.7
114.343, 104.2
114.558, 102.2
115.101, 100.5
115.506, 99.63
115.926, 98.97
116.639, 98.08
117.357, 97.34
118.232, 96.60
119.113, 95.99
120.9 Y, 95.10
121.829, 94.79
123.055, 94.51
125.119, 94.34
127.157, 94.55
129.109, 95.10
130.902, 96.00
131.907, 96.71
132.742, 97.44
134.082, 98.98
134.483, 99.61
134.895, 100.4
135.442, 102.2
135.619, 103.4
135.659, 104.4
135.59 , 105.7
135.433, 106.6
135.133, 107.8
134.313, 109.6
133.327, 111.2
132.363, 112.2
130.924, 113.1
129.071, 113.8
126.933, 114.2
124.644, 114.4
122.599, 114.2
120.588, 113.7
118.895, 113.0
117.637, 112.2
116.745, 111.3
115.841, 110.0
115.43 , 109.2
115.094, 108.3
115.445, 108.2
115.227, 107.6
114.934, 106.5
114.786, 105.6
114.719, 104.2
114.929, 102.3
115.446, 100.6
115.841, 99.81
116.236, 99.18
116.917, 98.33
117.612, 97.62
118.458, 96.90
119.317, 96.31
121.042, 95.45
121.928, 95.15
123.112, 94.88
125.107, 94.72
127.079, 94.92
128.966, 95.45
130.696, 96.32
131.668, 97.00
132.477, 97.70
133.772, 99.19
134.549, 100.6
135.071, 102.3
135.244, 103.5
135.282, 104.4
135.214, 105.6
135.066, 106.5
134.466, 108.4
133.986, 109.4
133.009, 111.0
132.137, 111.9
130.755, 112.8
128.972, 113.4
126.888, 113.9
124.649, 114.0
122.662, 113.8
120.697, 113.3
119.063, 112.7
117.863, 111.9
117.056, 111.1
116.152, 109.8
115.781, 109.1
115.467, 108.3
115.818, 108.1
115.588, 107.5
115.301, 106.5
115.162, 105.6
115.096, 104.2
115.3 Y, 102.4
115.791, 100.8
116.546, 99.40
117.866, 97.90
118.683, 97.20
119.521, 96.62
121.184, 95.80
123.17 , 95.25
125.096, 95.10
127.002, 95.29
128.823, 95.80
130.491, 96.63
131.429, 97.29
132.213, 97.97
133.461, 99.41
134.204, 100.7
134.7 Y, 102.4
134.869, 103.5
134.905, 104.4
134.741, 106.2
134.538, 107.1
134.196, 108.1
133.659, 109.2
132.691, 110.8
131.911, 111.6
130.466, 112.5
128.626, 113.2
126.602, 113.5
124.654, 113.6
122.804, 113.4
121.046, 113.1
119.425, 112.4
118.089, 111.6
117.367, 110.9
116.463, 109.6
116.131, 108.9
115.84 , 108.2
115.818, 108.1
115.588, 107.5
115.301, 106.5
115.162, 105.6
115.14 , 105.1
120.434, 107.5
120.26 , 107.2
120.028, 106.8
119.817, 106.2
119.666, 105.4
119.629, 104.7
119.688, 104.0
119.77 , 103.5
119.943, 102.9
120.274, 102.2
120.512, 101.9
120.861, 101.5
121.297, 101.0
121.733, 100.7
122.27 , 100.3
122.744, 100.1
123.279, 99.94
123.947, 99.76
124.653, 99.68
125.183, 99.67
125.695, 99.71
126.386, 99.84
127.04 , 100.0
127.645, 100.3
128.202, 100.6
128.705, 101.0
129.132, 101.4
129.621, 102.0
129.944, 102.6
130.072, 102.9
130.26 , 103.6
130.341, 104.4
130.362, 105.0
130.318, 105.5
130.186, 106.2
129.937, 106.8
129.611, 107.4
129.183, 107.9
128.693, 108.4
128.088, 108.7
127.494, 109.0
126.807, 109.2
126.314, 109.3
125.668, 109.4
125 Y10, 109.4
124.332, 109.4
123.69 , 109.3
123.089, 109.2
122.545, 109.0
122.038, 108.8
121.439, 108.5
120.962, 108.1
120.618, 107.7
120.469, 107.5
120.068, 107.6
119.904, 107.4
119.664, 106.9
119.433, 106.3
119.271, 105.5
119.231, 104.7
119.315, 103.7
119.42 , 103.2
119.573, 102.7
119.803, 102.2
120.102, 101.7
120.433, 101.3
120.865, 100.9
121.251, 100.6
121.656, 100.3
122.174, 99.98
122.814, 99.68
123.366, 99.49
123.877, 99.37
124.627, 99.28
125.195, 99.27
125.747, 99.31
126.483, 99.45
127.184, 99.67
127.835, 99.98
128.432, 100.3
128.967, 100.7
129.423, 101.2
129.947, 101.8
130.303, 102.4
130.529, 103.0
130.652, 103.5
130.736, 104.3
130.759, 105.0
130.752, 105.2
130.685, 105.8
130.568, 106.3
130.404, 106.8
130.061, 107.4
129.642, 108.0
129.123, 108.5
128.692, 108.8
128.092, 109.2
127.623, 109.4
126.904, 109.6
126.379, 109.7
125.702, 109.8
125 Y10, 109.8
124.298, 109.8
123.623, 109.7
122.987, 109.5
122.187, 109.3
121.664, 109.1
121.214, 108.8
120.692, 108.4
120.311, 108.0
120.103, 107.7
119.749, 107.9
119.644, 107.7
119.546, 107.6
119.538, 107.5
119.309, 107.1
119.059, 106.4
118.886, 105.5
118.843, 104.7
118.931, 103.6
119.045, 103.1
119.213, 102.6
119.6 Y, 101.8
119.787, 101.5
120.141, 101.1
120.596, 100.6
121.102, 100.2
121.652, 99.83
122.201, 99.52
122.675, 99.31
123.261, 99.12
123.808, 98.99
124.601, 98.89
125.207, 98.89
125.796, 98.93
126.578, 99.08
127.324, 99.31
128.02 , 99.64
128.657, 100.0
129.223, 100.4
129.708, 100.9
130.264, 101.6
130.654, 102.2
130.9 Y, 102.9
131.034, 103.5
131.121, 104.3
131.146, 105.0
131.097, 105.6
131.001, 106.1
130.852, 106.7
130.645, 107.2
130.391, 107.6
130.09 , 108.1
129.749, 108.5
129.371, 108.8
128.902, 109.2
128.25 , 109.5
127.749, 109.7
126.998, 109.9
126.443, 110.1
125.735, 110.2
125 Y11, 110.2
124.265, 110.2
123.558, 110.1
122.888, 109.9
122.05 , 109.6
121.486, 109.4
120.994, 109.1
120.429, 108.7
120.013, 108.2
119.785, 107.9
119.749, 107.9
119.644, 107.7
119.546, 107.6
119.538, 107.5
119.309, 107.1
119.059, 106.4
118.886, 105.5
118.858, 105.0
125.003, 100.8
124.788, 101.1
124.573, 101.4
124.197, 101.8
123.862, 102.0
123.721, 102.1
123.581, 102.2
122.133, 103.7
122.029, 103.7
121.925, 103.8
121.805, 104.3
121.947, 104.4
125.18 , 101.2
125.405, 101.5
121.939, 105.0
122.016, 105.5
125.684, 101.8
126.019, 102.0
122.153, 105.9
122.262, 106.3
126.399, 102.2
126.741, 102.4
122.264, 106.9
122.204, 107.1
122.144, 107.2
122.103, 107.2
122.084, 107.1
122.155, 107.2
122.056, 107.7
127.052, 102.7
127.337, 103.0
121.907, 108.4
121.643, 108.1
121.594, 108.2
121.581, 108.2
121.617, 108.2
121.665, 108.2
122.288, 108.6
127.598, 103.3
127.844, 103.6
122.699, 108.7
123.125, 108.8
127.979, 104.0
128.06 , 104.5
123.584, 109.0
124.07 , 109.0
128.056, 105.0
128.184, 105.2
128.092, 105.6
127.895, 105.8
124.585, 109.1
125.134, 109.1
127.483, 106.7
127.588, 106.6
127.694, 106.5
127.653, 106.5
127.634, 106.4
127.705, 106.4
127.424, 107.4
125.729, 109.1
127.343, 108.1
126.539, 108.9
127.362, 108.7
127.705, 108.5
127.512, 108.1
127.483, 107.9
127.512, 108.1
127.705, 108.5
127.362, 108.7
126.539, 108.9
127.343, 108.1
129.733, 107.0
128.802, 107.9
128.523, 108.1
128.13 , 108.4
128.008, 108.2
129.825, 106.4
129.91 , 106.1
130.011, 105.7
127.886, 107.8
127.801, 107.4
130.073, 105.1
130.072, 104.6
127.861, 106.8
127.936, 106.6
128.142, 106.2
128.262, 105.9
130.024, 104.1
129.975, 103.6
128.42 , 105.2
128.447, 104.6
129.873, 103.2
129.732, 102.8
128.4 Y, 104.2
128.302, 103.7
129.558, 102.5
129.387, 102.2
129.36 , 102.2
128.167, 103.4
127.938, 103.1
129.125, 101.9
128.922, 101.6
128.887, 101.6
127.702, 102.8
127.447, 102.5
128.624, 101.4
128.516, 101.2
128.346, 101.1
127.174, 102.3
126.879, 102.1
128.058, 100.9
127.742, 100.7
126.559, 101.9
126.208, 101.7
127.414, 100.5
127.06 , 100.3
125.901, 101.5
125.65 , 101.2
126.681, 100.2
126.284, 100.1
125.464, 100.9
125.313, 100.5
125.848, 100.0
125.659, 99.99
125.386, 99.97
125.039, 100.3
125.386, 99.97
125.659, 99.99
125.848, 100.0
125.313, 100.5
125.464, 100.9
126.205, 100.1
122.048, 106.9
121.114, 107.8
120.863, 107.6
121.899, 106.5
121.864, 106.2
121.821, 106.1
120.642, 107.3
120.495, 107.1
120.437, 106.9
121.688, 105.7
121.594, 105.3
120.268, 106.6
120.129, 106.2
121.553, 104.8
121.588, 104.2
120.031, 105.8
119.949, 105.4
121.776, 103.5
121.899, 103.3
122.068, 103.1
122.472, 102.6
122.994, 102.1
123.461, 101.9
124.622, 100.7
124.937, 99.97
124.875, 99.97
119.924, 104.9
119.916, 104.7
119.947, 104.3
124.316, 100.0
123.998, 100.0
123.684, 100.1
120.001, 103.8
120.082, 103.4
120.176, 103.1
122.905, 100.3
122.678, 100.4
122.216, 100.7
121.904, 100.9
121.487, 101.2
120.293, 102.4
121.487, 101.2
121.904, 100.9
122.216, 100.7
122.678, 100.4
122.707, 100.4
117.241, 108.2
118.12 , 107.9
118.902, 107.7
120.07 , 107.3
120.472, 107.1
121.137, 106.7
121.099, 106.4
120.914, 105.8
120.806, 105.2
120.778, 104.7
120.833, 104.1
120.952, 103.5
121.226, 102.9
121.625, 102.4
122.099, 101.9
122.541, 101.5
122.993, 101.2
123.461, 101.0
123.959, 100.8
124.504, 100.7
125.169, 100.7
125.791, 100.8
126.3 Y, 100.9
126.793, 101.1
127.244, 101.4
127.684, 101.7
128.071, 102.1
128.408, 102.4
128.738, 102.8
129.008, 103.0
128.989, 103.2
129.031, 103.5
129.212, 104.4
129.219, 105.0
129.125, 105.6
128.958, 106.2
128.711, 106.8
128.305, 107.4
127.892, 107.8
127.399, 108.2
126.872, 108.5
126.312, 108.8
125.724, 108.9
125.154, 109.0
124.432, 108.9
123.872, 108.8
123.335, 108.6
122.817, 108.3
122.373, 108.0
121.888, 107.6
121.46 , 107.1
121.145, 106.8
121.144, 106.8
120.625, 106.9
120.75 , 106.7
120.744, 106.6
120.599, 106.1
120.437, 105.5
120.377, 104.9
120.416, 104.2
120.524, 103.6
120.737, 103.0
121.009, 102.5
121.455, 102.0
121.835, 101.6
122.295, 101.2
122.795, 100.9
123.309, 100.6
123.856, 100.4
124.452, 100.3
125.013, 100.3
125.575, 100.3
126.151, 100.4
126.702, 100.6
127.225, 100.9
127.714, 101.2
128.16 , 101.6
128.545, 102.0
